linguagem,caso,tamanho_label,n,k,media_segundos,desvio_padrao,minimo,maximo,execucoes,complexidade_teorica,constante_c,tempo_teorico_ajustado
python,melhor,pequena,1000,1000,0.00023574999999999998,5.345486494423962e-05,0.0001509,0.000366,30,2000,9.200191786462901e-08,0.000184003835729258
python,melhor,media,10000,10000,0.0017257700000000002,0.0004045007038483285,0.0014629,0.0028215,30,20000,9.200191786462901e-08,0.00184003835729258
python,melhor,grande,1000000,1000000,0.18400492666666668,0.014575811785139647,0.1700551,0.216076,30,2000000,9.200191786462901e-08,0.18400383572925802
python,medio,pequena,1000,1000,0.00023068666666666666,9.423927628861707e-05,0.000158,0.0006247,30,2000,1.1404715871363659e-07,0.0002280943174272732
python,medio,media,10000,10000,0.00174376,0.00033272025590525017,0.0015046,0.0025369,30,20000,1.1404715871363659e-07,0.0022809431742727318
python,medio,grande,1000000,1000000,0.22809968666666666,0.024935670351840918,0.189925,0.2804629,30,2000000,1.1404715871363659e-07,0.22809431742727318
python,pior,pequena,1000,1000,0.00017183333333333333,7.125337660883813e-05,0.0001487,0.0005388,30,2000,8.82707478544667e-08,0.0001765414957089334
python,pior,media,10000,10000,0.0016791233333333334,0.00024647169199326516,0.0014534,0.0022771,30,20000,8.82707478544667e-08,0.001765414957089334
python,pior,grande,1000000,1000000,0.1765423633333333,0.00730650238757531,0.1677493,0.201567,30,2000000,8.82707478544667e-08,0.1765414957089334
rust,melhor,pequena,1000,1000,3.6966666666666667e-06,4.426836913358257e-06,2.2e-06,2.28e-05,30,2000,2.63644950026714e-09,5.272899000534279e-06
rust,melhor,media,10000,10000,4.245333333333333e-05,4.8185513156559e-06,3.94e-05,5.91e-05,30,20000,2.63644950026714e-09,5.2728990005342795e-05
rust,melhor,grande,1000000,1000000,0.005273003333333333,0.0007799222806034002,0.0043974,0.00762,30,2000000,2.63644950026714e-09,0.005272899000534279
rust,medio,pequena,1000,1000,6.636666666666667e-06,1.6845102293081153e-06,5.8e-06,1.52e-05,30,2000,7.638977431612741e-09,1.5277954863225482e-05
rust,medio,media,10000,10000,7.846333333333333e-05,1.8155427294059587e-06,7.67e-05,8.45e-05,30,20000,7.638977431612741e-09,0.00015277954863225483
rust,medio,grande,1000000,1000000,0.015278706666666668,0.0022903222819346705,0.0121175,0.0217636,30,2000000,7.638977431612741e-09,0.015277954863225482
rust,pior,pequena,1000,1000,2.2266666666666664e-06,5.832922809856744e-08,2.1e-06,2.3e-06,30,2000,3.413189114566095e-09,6.826378229132191e-06
rust,pior,media,10000,10000,3.9546666666666665e-05,2.0248002597673727e-06,3.83e-05,4.98e-05,30,20000,3.413189114566095e-09,6.82637822913219e-05
rust,pior,grande,1000000,1000000,0.006826669999999999,0.0007855675344220454,0.0054782,0.008516,30,2000000,3.413189114566095e-09,0.00682637822913219
